# 自定义简->繁消歧字典
# 补充 OpenCC STPhrases 未覆盖的高频语境
# 格式: 简体短语<TAB>繁体结果

# === 着/著 助词 ===
随着	隨著
看着	看著
听着	聽著
走着	走著
说着	說著
笑着	笑著
想着	想著
忙着	忙著
急着	急著
拿着	拿著
跟着	跟著
接着	接著
望着	望著
迎着	迎著
围着	圍著
靠着	靠著
过着	過著
活着	活著
睡着	睡著
醒着	醒著
坐着	坐著
站着	站著
躺着	躺著
等着	等著
找着	找著
吃着	吃著
喝着	喝著
写着	寫著
读着	讀著
唱着	唱著
跑着	跑著
开着	開著
关着	關著
记着	記著
念着	念著
留着	留著
提着	提著
抱着	抱著
背着	背著
扛着	扛著
顶着	頂著
带着	帶著
陪着	陪著
伴着	伴著
顺着	順著
沿着	沿著
照着	照著
本着	本著
凭着	憑著
依着	依著
为着	為著
朝着	朝著
对着	對著
冲着	衝著
当着	當著
忍着	忍著
憋着	憋著
沉着	沉著
稳着	穩著
亮着	亮著
热着	熱著
冷着	冷著
干着	幹著

# === 只/隻 仅 vs 量词 ===
只能	只能
只是	只是
只要	只要
只有	只有
只得	只得
只管	只管
只顾	只顧
只怕	只怕
只见	只見
只知	只知
只觉	只覺
只听	只聽
只看	只看
只想	只想
只说	只說
只做	只做
只会	只會
一只	一隻
两只	兩隻
三只	三隻
几只	幾隻
这只	這隻
那只	那隻
哪只	哪隻
每只	每隻
只身	隻身
只字不提	隻字不提
只言片语	隻言片語
形单影只	形單影隻

# === 干/乾/幹 干燥/做/干部 ===
干净	乾淨
干燥	乾燥
干旱	乾旱
干枯	乾枯
干涸	乾涸
干瘪	乾癟
干裂	乾裂
干柴	乾柴
干杯	乾杯
干洗	乾洗
干冷	乾冷
干热	乾熱
干透	乾透
晒干	曬乾
烘干	烘乾
晾干	晾乾
擦干	擦乾
吹干	吹乾
烤干	烤乾
干活	幹活
干劲	幹勁
干练	幹練
干事	幹事
干将	幹將
才干	才幹
能干	能幹
苦干	苦幹
实干	實幹
巧干	巧幹
蛮干	蠻幹
大干	大幹
单干	單幹
主干	主幹
树干	樹幹
枝干	枝幹
躯干	軀幹
茎干	莖幹
骨干	骨幹
干部	幹部
精干	精幹
提干	提幹

# === 发/發/髮 发送/头发 ===
发现	發現
发生	發生
发出	發出
发扬	發揚
发展	發展
发达	發達
发布	發布
发表	發表
发动	發動
发放	發放
发光	發光
发热	發熱
发声	發聲
发音	發音
发芽	發芽
发源	發源
发起	發起
发誓	發誓
发明	發明
发财	發財
发家	發家
发福	發福
发病	發病
发烧	發燒
发炎	發炎
发抖	發抖
发愣	發愣
发呆	發呆
发愁	發愁
发怒	發怒
发笑	發笑
发货	發貨
发料	發料
发证	發證
发卡	發卡
发帖	發帖
发文	發文
发问	發問
发话	發話
发电	發電
发报	發報
头发	頭髮
毛发	毛髮
理发	理髮
烫发	燙髮
染发	染髮
剃发	剃髮
剪发	剪髮
脱发	脫髮
白发	白髮
黑发	黑髮
发饰	髮飾
发夹	髮夾
发网	髮網
发胶	髮膠
发廊	髮廊
发针	髮針

# === 面/麵 脸面/面条 ===
面条	麵條
面粉	麵粉
面包	麵包
面食	麵食
面点	麵點
面碗	麵碗
面汤	麵湯
面皮	麵皮
泡面	泡麵
汤面	湯麵
拌面	拌麵
炒面	炒麵
拉面	拉麵
切面	切麵
挂面	掛麵
方便面	方便麵
意大利面	意大利麵
热干面	熱乾麵

# === 后/後 后/以后 ===
以后	以後
后面	後面
后方	後方
后退	後退
后来	後來
后续	後續
后果	後果
后患	後患
后年	後年
后天	後天
后世	後世
事后	事後
饭后	飯後
然后	然後
随后	隨後
最后	最後
之后	之後
背后	背後
幕后	幕後
产后	產後
术后	術後
饭后	飯後
会后	會後
先后	先後
而后	而後
王后	王后
皇后	皇后
太后	太后
后妃	后妃

# === 里/裡 里面/距离 ===
里面	裡面
里头	裡頭
这里	這裡
那里	那裡
哪里	哪裡
里里外外	裡裡外外
里程	里程
公里	公里
里拉	里拉
乡里	鄉里
故里	故里
邻里	鄰里
夜里	夜裡
村里	村裡
城里	城裡
家里	家裡
心里	心裡
手里	手裡
眼里	眼裡
怀里	懷裡
脑里	腦裡
口里	口裡
车里	車裡
箱里	箱裡
柜里	櫃裡
包里	包裡
书里	書裡
信里	信裡
画里	畫裡
话里	話裡
歌里	歌裡
梦里	夢裡
雨里	雨裡
风里	風裡
水里	水裡
火里	火裡
雾里	霧裡
雪里	雪裡
光里	光裡
暗里	暗裡
夜里	夜裡
暗地里	暗地裡
背地里	背地裡
死里逃生	死裡逃生
忙里偷闲	忙裡偷閒
里应外合	裡應外合

# === 历/歷/曆 历史/日历 ===
历史	歷史
历代	歷代
经历	經歷
阅历	閱歷
学历	學歷
资历	資歷
履历	履歷
来历	來歷
历史	歷史
历时	歷時
历历	歷歷
历险	歷險
日历	日曆
月历	月曆
年历	年曆
台历	檯曆
挂历	掛曆
万年历	萬年曆

# === 复/復/複 恢复/复制 ===
恢复	恢復
复原	復原
复兴	復興
复苏	復甦
复诊	復診
复查	復查
复审	復審
复信	復信
复命	復命
复职	復職
复辟	復辟
康复	康復
答复	答覆
回复	回覆
覆信	覆信
复制	複製
复数	複數
复杂	複雜
复查	複查
复方	複方
复合	複合
复利	複利
繁复	繁複
重复	重複
单复	單複

# === 钟/鐘/鍾 钟表/酒钟 ===
钟表	鐘錶
钟声	鐘聲
钟楼	鐘樓
钟塔	鐘塔
时钟	時鐘
闹钟	鬧鐘
座钟	座鐘
挂钟	掛鐘
敲钟	敲鐘
老钟	老鐘
钟意	鍾意
钟爱	鍾愛
钟情	鍾情
钟灵毓秀	鍾靈毓秀

# === 板/闆 木板/老板 ===
老板	老闆
板凳	板凳
木板	木板
地板	地板
黑板	黑板
白板	白板
模板	模板
样板	樣板
板材	板材
钢板	鋼板
铁板	鐵板
铝板	鋁板
玻璃板	玻璃板
甲板	甲板
踏板	踏板
主板	主板
面板	面板

# === 表/錶 表面/手表 ===
手表	手錶
钟表	鐘錶
怀表	懷錶
电表	電錶
水表	水錶
气表	氣錶
表盘	錶盤
表面	表面
外表	外表
表现	表現
表达	表達
表示	表示
表态	表態
发表	發表
代表	代表
列出	列出
表格	表格
图表	圖表
报表	報表
表哥	表哥
表妹	表妹
表姐	表姐
表弟	表弟
表叔	表叔
表伯	表伯
表亲	表親

# === 制/製 制度/制造 ===
制度	制度
制定	制定
制约	制約
制服	制服
制式	制式
制止	制止
制裁	制裁
自制	自制
制约	制約
管制	管制
控制	控制
限制	限制
制作	製作
制造	製造
制造	製造
制品	製品
制图	製圖
制药	製藥
制衣	製衣
制糖	製糖
制革	製革
制版	製版
制程	製程
精制	精製
粗制	粗製
仿制	仿製
试制	試製
订制	訂製
定制	定製
原制	原製
机制	機製
缝制	縫製
纸制	紙製
木制	木製
铁制	鐵製
铜制	銅製
塑制	塑製
陶制	陶製
瓷制	瓷製
橡胶制	橡膠製

# === 致/緻 导致/精致 ===
导致	導致
致力	致力
致敬	致敬
致谢	致謝
致歉	致歉
致辞	致辭
致信	致信
致电	致電
致函	致函
致哀	致哀
致死	致死
致伤	致傷
致盲	致盲
致癌	致癌
致病	致病
致贫	致貧
致富	致富
精致	精緻
细緻	細緻
緻密	緻密

# === 系/係/繫 系统/联系/系上 ===
系统	系統
系列	系列
系别	系別
系科	系科
系主任	系主任
体系	體系
水系	水系
语系	語系
派系	派系
世系	世系
嫡系	嫡系
直系	直系
联系	聯繫
维系	維繫
挂系	掛繫
系上	繫上
系带	繫帶
系鞋带	繫鞋帶
系扣	繫扣
系绳	繫繩
系住	繫住
系紧	繫緊
系好	繫好
系住	繫住
解系	解繫
关系	關係
干系	干係
系数	係數
关系	關係

# === 刮/颳 刮脸/刮风 ===
刮风	颳風
刮大风	颳大風
刮起	颳起
刮着	颳著
刮脸	刮臉
刮胡子	刮鬍子
刮刀	刮刀
刮垢	刮垢
刮目	刮目
搜刮	搜刮

# === 胡/鬍 胡人/胡子 ===
胡子	鬍子
胡须	鬍鬚
胡乱	胡亂
胡闹	胡鬧
胡说	胡說
胡话	胡話
胡来	胡來
胡搞	胡搞
胡扯	胡扯
胡涂	胡塗
胡闹	胡鬧
胡琴	胡琴
胡桃	胡桃
胡椒	胡椒
胡人	胡人
胡同	胡同
胡匪	胡匪
胡椒	胡椒
胡豆	胡豆
胡萝卜	胡蘿蔔
芝麻胡	芝麻鬍

# === 签/簽/籤 签字/牙签 ===
签字	簽字
签名	簽名
签署	簽署
签收	簽收
签订	簽訂
签发	簽發
签合同	簽合同
签注	簽注
签证	簽證
签呈	簽呈
签单	簽單
签到	簽到
签到	簽到
牙签	牙籤
书签	書籤
标签	標籤
签筒	籤筒
抽签	抽籤
求签	求籤
灵签	靈籤
签语	籤語

# === 台/臺/檯/颱 平台/桌台/台风 ===
台湾	臺灣
台北	臺北
台南	臺南
台中	臺中
台东	臺東
台胞	臺胞
台商	臺商
台币	臺幣
台军	臺軍
台海	臺海
台面	檯面
柜台	櫃檯
吧台	吧檯
写字台	寫字檯
梳妆台	梳妝檯
操作台	操作檯
控制台	控制檯
讲台	講臺
舞台	舞臺
看台	看臺
阳台	陽臺
露台	露臺
塔台	塔臺
站台	站臺
台前	臺前
台后	臺後
台步	臺步
台风	颱風
台风雨	颱風雨
台风眼	颱風眼

# === 志/誌 志向/杂志 ===
志向	志向
志愿	志願
志气	志氣
志士	志士
志同道合	志同道合
立志	立志
意志	意志
斗志	鬥志
神志	神志
标志	標誌
杂志	雜誌
日志	日誌
志	誌
县志	縣誌
市志	市誌
省志	省誌
校志	校誌
厂志	廠誌
家志	家誌
碑志	碑誌
墓志	墓誌
三国志	三國誌

# === 周/週 周围/周末 ===
周围	周圍
周边	周邊
周长	周長
周全	周全
周密	周密
周折	周折
周旋	周旋
周济	周濟
周知	周知
周而复始	周而復始
周末	週末
周五	週五
周一	週一
周二	週二
周三	週三
周四	週四
周六	週六
周日	週日
周期	週期
周岁	週歲
周年	週年
周会	週會
周刊	週刊
周报	週報
周刊	週刊
每周	每週
一周	一週
两周	兩週
三周	三週
四周	四週
几周	幾週
上周	上週
下周	下週
本周	本週
两周	兩週
周期性	週期性

# === 注/註 注意/注册 ===
注意	注意
注重	注重
注视	注視
注入	注入
注射	注射
注销	註銷
注册	註冊
注册	註冊
注脚	註腳
注解	註解
批注	批註
备注	備註
标注	標註
附注	附註
注明	註明
注释	註釋
专注	專注
关注	關注
倾注	傾注
灌注	灌注
注入	注入
注射	注射
注水	注水
注音	注音
专注	專注

# === 坏/壞 坏掉/坏土 ===
坏人	壞人
坏事	壞事
坏处	壞處
坏话	壞話
坏心	壞心
坏掉	壞掉
弄坏	弄壞
变坏	變壞
毁坏	毀壞
损坏	損壞
破坏	破壞
败坏	敗壞
气坏	氣壞
急坏	急壞
吓坏	嚇壞
饿坏	餓壞
累坏	纍壞
好歹	好歹
坏土	坏土
坏木	坏木

# === 获/獲/穫 获得/收获 ===
获得	獲得
获取	獲取
获利	獲利
获救	獲救
获胜	獲勝
获知	獲知
荣获	榮獲
俘获	俘獲
破获	破獲
查获	查獲
缉获	緝獲
截获	截獲
猎获	獵獲
抓获	抓獲
捕获	捕獲
收获	收穫
收割	收穫
秋收	秋穫
农获	農穫
渔获	漁穫
获	穫

# === 尽/盡/儘 尽力/尽量 ===
尽力	盡力
尽心	盡心
尽责	盡責
尽职	盡職
尽情	盡情
尽兴	盡興
尽欢	盡歡
尽头	盡頭
尽善尽美	盡善盡美
尽如人意	盡如人意
尽忠	盡忠
尽孝	盡孝
尽义务	盡義務
尽然	盡然
尽致	盡緻
耗尽	耗盡
穷尽	窮盡
竭尽	竭盡
无尽	無盡
尽量	儘量
尽早	儘早
尽快	儘快
尽先	儘先
尽可能	儘可能
尽最大	儘最大
尽其	儘其
尽从	儘從
尽在	儘在
尽是	儘是
尽选	儘選
尽挑	儘挑
尽拿	儘拿
尽找	儘找
尽用	儘用
尽吃	儘吃
尽喝	儘喝
尽花	儘花
尽给	儘給
尽让	儘讓
尽派	儘派
尽送	儘送
尽跑	儘跑
尽跳	儘跳
尽唱	儘唱
尽写	儘寫
尽读	儘讀
尽看	儘看
尽听	儘聽
尽想	儘想
尽说	儘說
尽做	儘做
尽走	儘走
尽坐	儘坐
尽站	儘站
尽躺	儘躺
尽睡	儘睡
尽醒	儘醒
尽等	儘等
尽忙	儘忙
尽闲	儘閒
尽玩	儘玩
尽乐	儘樂

# === 苏/蘇/甦 苏醒/苏联 ===
苏醒	甦醒
苏生	甦生
苏苏	甦甦
苏联	蘇聯
苏州	蘇州
江苏	江蘇
苏北	蘇北
苏南	蘇南
苏杭	蘇杭
苏绣	蘇繡
苏打	蘇打
苏铁	蘇鐵
苏门	蘇門
苏俄	蘇俄
苏区	蘇區
苏维埃	蘇維埃
苏丹	蘇丹
苏格拉底	蘇格拉底
苏武	蘇武
苏轼	蘇軾
苏洵	蘇洵
苏辙	蘇轍
苏小	蘇小
苏堤	蘇堤
苏黄	蘇黃
苏蔡	蘇蔡
苏米	蘇米
紫苏	紫蘇
白苏	白蘇
金苏	金蘇
麻苏	麻蘇
流苏	流蘇
苏木	蘇木
苏子	蘇子
苏叶	蘇葉
苏根	蘇根
苏皮	蘇皮
苏枝	蘇枝
苏花	蘇花
苏果	蘇果
苏仁	蘇仁
苏壳	蘇殼
苏苗	蘇苗
苏苗	蘇苗
苏芽	蘇芽
苏油	蘇油
苏酮	蘇酮
苏醛	蘇醛
苏酸	蘇酸
苏碱	蘇鹼
苏盐	蘇鹽
苏糖	蘇糖
苏胶	蘇膠
苏蜡	蘇蠟
苏漆	蘇漆
苏炭	蘇炭
苏泥	蘇泥
苏灰	蘇灰
苏渣	蘇渣
苏石	蘇石
苏砂	蘇砂
苏砖	蘇磚
苏瓦	蘇瓦
苏钢	蘇鋼
苏铁	蘇鐵
苏铜	蘇銅
苏铝	蘇鋁
苏锌	蘇鋅
苏金	蘇金
苏银	蘇銀
苏锡	蘇錫
苏铅	蘇鉛
苏汞	蘇汞
苏铂	蘇鉑
苏钯	蘇鈀
苏铑	蘇銠
苏铱	蘇銥
苏铀	蘇鈾
苏钚	蘇鈈
苏钴	蘇鈷
苏镍	蘇鎳
苏铬	蘇鉻
苏锰	蘇錳
苏钼	蘇鉬
苏钨	蘇鎢
苏钒	蘇釩
苏钛	蘇鈦
苏锆	蘇鋯
苏锑	蘇銻
苏铋	蘇鉍
苏铷	蘇銣
苏铯	蘇銫
苏钡	蘇鋇
苏镭	蘇鐳
苏氡	蘇氡
苏氦	蘇氦
苏氖	蘇氖
苏氩	蘇氬
苏氪	蘇氪
苏氙	蘇氙
苏氡	蘇氡
苏氟	蘇氟
苏氯	蘇氯
苏溴	蘇溴
苏碘	蘇碘
苏碳	蘇碳
苏硅	蘇硅
苏硼	蘇硼
苏铍	蘇鈹
苏锂	蘇鋰
苏钠	蘇鈉
苏钾	蘇鉀
苏钙	蘇鈣
苏镁	蘇鎂
苏锶	蘇鍶
苏钇	蘇釔
苏铌	蘇鈮
苏碲	蘇碲
苏硒	蘇硒
苏碲	蘇碲
